,source,target,weight
0,Product,production_sales_ratio,-0.3006392159616301
1,Product,delivery_sales_ratio,1.0
2,Sales,production_sales_ratio,1.0
3,Sales,delivery_sales_ratio,0.9972354256988575
4,Production,production_sales_ratio,1.0
5,Factory_Issue,delivery_sales_ratio,0.6422792213848384
6,Factory_Issue,factory_issue_rate,-0.43192949634509153
7,Delivery,production_sales_ratio,-1.0
8,Delivery,delivery_sales_ratio,-0.8415908013925151
9,Sales_lag_2,production_sales_ratio,1.0
10,Sales_lag_3,production_sales_ratio,0.4489333185708088
11,Sales_lag_3,delivery_sales_ratio,0.4983825508926615
12,Sales_lag_7,production_sales_ratio,0.7074776013084938
13,Sales_lag_7,delivery_sales_ratio,-0.562007071439759
14,Sales_lag_14,production_sales_ratio,0.5530306506042115
15,Sales_lag_14,delivery_sales_ratio,0.7627888751248035
16,Sales_lag_14,factory_issue_rate,0.37455699680531174
17,Sales_lag_21,production_sales_ratio,0.45765456634227447
18,Sales_lag_21,delivery_sales_ratio,-0.4972872976324568
19,Sales_lag_21,factory_issue_rate,0.5857057761784042
20,inventory_proxy,delivery_sales_ratio,0.567135638296093
