feature_name,feature_importance
Delivery,-0.02859965635481665
delivery_sales_ratio,0.016084763370496944
Production,-0.004689725254134299
Factory_Issue,-0.002933511994654428
inventory_proxy,-0.002146382885442717
Sales_lag_2,-0.0020817826654490187
production_sales_ratio,0.0019174323983065502
Sales_lag_28,-0.001672675215546377
Sales_lag_7,-0.0016697626865638919
factory_issue_rate,-0.0015491701955499463
Sales_lag_14,-0.0008347695504951801
Sales_lag_1,-0.0007950479511927255
Sales_lag_21,-0.0007875656263427295
Sales_lag_3,-0.0006029792847067043
Product,0.0003531924054920073
Sub-Group,0.00016993722910344972
currency_log_return,-0.00014805260730904786
holiday_type,9.886700123584416e-05
Temperature,-9.136736623364387e-05
stock_market_close,-6.105560490972443e-05
