,json_file,title,date,url,source,feature,edge_label,event_summary,triplet_semantic,quote_similarity,quote_best_match,judge_verdict,judge_reasoning,triplet_date,subject,predicate,object,parse_ok,new_subject,new_predicate,new_object,new_triplet,normalized_direction,normalized_triplet,refined_subject,refined_triplet,attribute
0,llm_response_0000_The_Daily_Star_20230101.json,Ensure stable energy prices for economic recovery,2023-01-01,https://www.thedailystar.net/business/economy/news/ensure-stable-energy-prices-economic-recovery-3210341,The Daily Star,imports,negatively impacts imports,"foreign currency shortage, devaluation","2023-01-01, The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs. -> negatively impacts imports -> foreign currency shortage, devaluation",1.0,"resulting in some negative impacts on the import of energy, industrial raw materials and supply chain for export-oriented industries.",CONFIRMED,"The article contains the sentence stating the foreign currency shortage and taka devaluation 'has challenged the country's financial sector, resulting in some negative impacts on the import of energy, industrial raw materials and supply chain for export-oriented industries,' which explicitly links the event to negative effects on national-level imports.",2023-01-01,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",negatively impacts imports,"foreign currency shortage, devaluation",True,Foreign Currency Shortage,negatively impacts imports,Supply Chain for Export-Oriented Industries,(Foreign Currency Shortage) ── negatively impacts imports ──> (Supply Chain for Export-Oriented Industries),decrease,(Foreign Currency Shortage) ── decrease ──> (imports),Foreign Currency Shortage and Taka Devaluation,(Foreign Currency Shortage and Taka Devaluation) ── decrease ──> (imports),"""Foreign Currency Shortage: Monetary Policy"", ""Taka Devaluation: Currency Movement"""
1,llm_response_0004_eNCAnews_20230607.json,"Bangladesh shuts schools, cuts power in longest heatwave in decades",2023-06-07,https://www.enca.com/life/bangladesh-shuts-schools-cuts-power-longest-heatwave-decades,eNCAnews,currency_log_return,drives up import costs,Taka depreciated 25%,"2023-06-07, Volatility in the exchange rate (e.g., USD to BDT) affecting import costs. -> drives up import costs -> Taka depreciated 25%",1.0,"The Bangladeshi taka depreciated about 25 percent against the US dollar last year, driving up the cost of fuel imports and power utilities.",CONFIRMED,"The article contains the exact sentence stating the taka depreciated about 25% 'driving up the cost of fuel imports and power utilities,' which explicitly asserts a cause-and-effect link at the national (country) level.",2023-06-07,"Volatility in the exchange rate (e.g., USD to BDT) affecting import costs.",drives up import costs,Taka depreciated 25%,True,Bangladeshi Taka Depreciation,drives up import costs,Fuel Imports and Power Utilities,(Bangladeshi Taka Depreciation) ── drives up import costs ──> (Fuel Imports and Power Utilities),depreciate,(Bangladeshi Taka Depreciation) ── depreciate ──> (currency_log_return),Taka Depreciation Against The US Dollar,(Taka Depreciation Against The US Dollar) ── depreciate ──> (currency_log_return),"""Taka Depreciation: Currency Movement"""
2,llm_response_0006_Bangladesh_Sangbad_Sangstha_BSS_20230112.json,ICCB for taking steps to tackle recessionary risks of Bangladesh | Business,2023-01-12,https://www.bssnews.net/business/104885,Bangladesh Sangbad Sangstha (BSS),currency_log_return,forces devaluation,recession spurs devaluation,"2023-01-12, Volatility in the exchange rate (e.g., USD to BDT) affecting import costs. -> forces devaluation -> recession spurs devaluation",0.995,"will spur capital outflows from the developing countries forcing them to devalue their currencies,",CONFIRMED,"The article contains the sentence 'The likely recession in the developed world will spur capital outflows from the developing countries forcing them to devalue their currencies...' which explicitly links a (likely) recession to capital outflows that force country-level currency devaluations, matching the exchange-rate (currency) scope.",2023-01-12,"Volatility in the exchange rate (e.g., USD to BDT) affecting import costs.",forces devaluation,recession spurs devaluation,True,Capital Outflows from Developing Countries,forces devaluation,Developing Country Currencies,(Capital Outflows from Developing Countries) ── forces devaluation ──> (Developing Country Currencies),depreciate,(Capital Outflows from Developing Countries) ── depreciate ──> (currency_log_return),Recession in Developed Countries,(Recession in Developed Countries) ── depreciate ──> (currency_log_return),"""Recession in Developed Countries: Global Shock"""
3,llm_response_0010_La_Prensa_Latina_Media_20230131.json,IMF approves $4.7 billion loan package for Bangladesh,2023-01-31,https://www.laprensalatina.com/imf-approves-4-7-billion-loan-package-for-bangladesh/,La Prensa Latina Media,currency_log_return,caused depreciation,Russia's war in Ukraine,"2023-01-31, Volatility in the exchange rate (e.g., USD to BDT) affecting import costs. -> caused depreciation -> Russia's war in Ukraine",1.0,"It has led to a sharp widening of Bangladesh's current account deficit, depreciation of the taka, and a decline in foreign exchange reserves.",CONFIRMED,"The article contains the sentence 'It has led to a sharp widening of Bangladesh's current account deficit, depreciation of the taka, and a decline in foreign exchange reserves,' which explicitly states Russia's war in Ukraine caused depreciation of the taka, a country-level exchange-rate movement matching the feature.",2023-01-31,"Volatility in the exchange rate (e.g., USD to BDT) affecting import costs.",caused depreciation,Russia's war in Ukraine,True,Russia's war in Ukraine,caused depreciation,Bangladesh's Taka,(Russia's war in Ukraine) ── caused depreciation ──> (Bangladesh's Taka),depreciate,(Russia's war in Ukraine) ── depreciate ──> (currency_log_return),Russian invasion of Ukraine,(Russian invasion of Ukraine) ── depreciate ──> (currency_log_return),"""Russian invasion of Ukraine: Global Shock"""
4,llm_response_0015_Bangladesh_Sangbad_Sangstha_BSS_20230212.json,"Agriculturists Day tomorrow: President, PM issue messages | News",2023-02-12,https://www.bssnews.net/news/110260,Bangladesh Sangbad Sangstha (BSS),imports,reduces imports,people urged to be frugal,"2023-02-12, The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs. -> reduces imports -> people urged to be frugal",1.0,people should be frugal at all levels so that agricultural products do not have to be imported,CONFIRMED,"The article contains the line advising 'people should be frugal at all levels so that agricultural products do not have to be imported,' which explicitly links frugality to avoiding imports; the context discusses imports at the national level, matching the aggregate scope.",2023-02-12,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",reduces imports,people urged to be frugal,True,People Being Frugal,reduces imports,Agricultural Products,(People Being Frugal) ── reduces imports ──> (Agricultural Products),decrease,(People Being Frugal) ── decrease ──> (imports),Calls for Frugality,(Calls for Frugality) ── decrease ──> (imports),"""Calls for Frugality: Social & Labor"""
5,llm_response_0016_Bangladesh_Sangbad_Sangstha_BSS_20230228.json,Bangladesh economy shows signs of improvement: MCCI | Business,2023-02-28,https://www.bssnews.net/business/112993,Bangladesh Sangbad Sangstha (BSS),currency_log_return,causes depreciation,Russia-Ukraine war,"2023-02-28, Volatility in the exchange rate (e.g., USD to BDT) affecting import costs. -> causes depreciation -> Russia-Ukraine war",1.0,"Russia-Ukraine, resultant supply-chain disruptions, global oil-and food-price spikes, slowdown in external demand, weak remittance inflow, rise in inflation, negative current account balance, depreciation of the Taka",CONFIRMED,"The article text explicitly lists the Russia-Ukraine war and resultant disruptions as interrupting Bangladesh's recovery and then enumerates consequences including 'depreciation of the Taka,' directly linking the war/effects to currency depreciation at the country level.",2023-02-28,"Volatility in the exchange rate (e.g., USD to BDT) affecting import costs.",causes depreciation,Russia-Ukraine war,True,Russia-Ukraine War,causes depreciation,Bangladeshi Taka,(Russia-Ukraine War) ── causes depreciation ──> (Bangladeshi Taka),depreciate,(Russia-Ukraine War) ── depreciate ──> (currency_log_return),Russia's Invasion of Ukraine,(Russia's Invasion of Ukraine) ── depreciate ──> (currency_log_return),"""Russia's Invasion of Ukraine: Global Shock"""
6,llm_response_0031_Asian_News_International_ANI_20230516.json,Bangladesh government should think twice before trading in Chinese currency: Report,2023-05-16,https://www.aninews.in/news/world/asia/bangladesh-government-should-think-twice-before-trading-in-chinese-currency-report20230516121703/,Asian News International (ANI),balance_of_trade,reduces export revenue,Switch to Yuan lowers exports,"2023-05-16, The difference between country-wide imports and exports. -> reduces export revenue -> Switch to Yuan lowers exports",0.996,Moving to the Yuan for international trade will hurt Bangladesh's remittances from abroad and lower export revenue as well.,CONFIRMED,"The article contains the sentence 'Moving to the Yuan for international trade will hurt Bangladesh's remittances from abroad and lower export revenue as well,' which explicitly asserts that switching to the yuan will reduce national export revenue, matching the claimed causal relationship at the country level.",2023-05-16,The difference between country-wide imports and exports.,reduces export revenue,Switch to Yuan lowers exports,True,Switch to the Yuan,reduces export revenue,Export Revenue,(Switch to the Yuan) ── reduces export revenue ──> (Export Revenue),deteriorate,(Switch to the Yuan) ── deteriorate ──> (balance_of_trade),Adoption of the Yuan,(Adoption of the Yuan) ── deteriorate ──> (balance_of_trade),"""Adoption of the Yuan: Currency Movement"""
7,llm_response_0051_Bangladesh_Sangbad_Sangstha_BSS_20230109.json,"Govt focusing on signing PTAs, FTAs considering LDC graduation: Tipu | Business",2023-01-09,https://www.bssnews.net/business/104238,Bangladesh Sangbad Sangstha (BSS),balance_of_trade,reduces exports,LDC graduation tariffs,"2023-01-09, The difference between country-wide imports and exports. -> reduces exports -> LDC graduation tariffs",0.996,Bangladesh needs to sign FTAs with more potential countries and important economic blocs to offset the loss of preferential market access.,CONFIRMED,"The exact sentence recommending signing FTAs to 'offset the loss of preferential market access' appears in the article, and the surrounding text explicitly presents FTAs as a means to overcome post-LDC export losses at the national level.",2023-01-09,The difference between country-wide imports and exports.,reduces exports,LDC graduation tariffs,True,LDC Graduation,reduces exports,Bangladesh Exports,(LDC Graduation) ── reduces exports ──> (Bangladesh Exports),deteriorate,(LDC Graduation) ── deteriorate ──> (balance_of_trade),Loss of Preferential Market Access,(Loss of Preferential Market Access) ── deteriorate ──> (balance_of_trade),"""Loss of Preferential Market Access: Trade Policy"""
8,llm_response_0051_Bangladesh_Sangbad_Sangstha_BSS_20230109.json,"Govt focusing on signing PTAs, FTAs considering LDC graduation: Tipu | Business",2023-01-09,https://www.bssnews.net/business/104238,Bangladesh Sangbad Sangstha (BSS),balance_of_trade,reduces exports,LDC graduation tariffs,"2023-01-09, The difference between country-wide imports and exports. -> reduces exports -> LDC graduation tariffs",0.996,Bangladesh needs to sign FTAs with more potential countries and important economic blocs to offset the loss of preferential market access.,CONFIRMED,"The exact sentence recommending signing FTAs to 'offset the loss of preferential market access' appears in the article, and the surrounding text explicitly presents FTAs as a means to overcome post-LDC export losses at the national level.",2023-01-09,The difference between country-wide imports and exports.,reduces exports,LDC graduation tariffs,True,Signing FTAs,mitigates export losses,Loss of Preferential Market Access,(Signing FTAs) ── mitigates export losses ──> (Loss of Preferential Market Access),improve,(Signing FTAs) ── improve ──> (balance_of_trade),Bilateral and Regional Free Trade Agreements,(Bilateral and Regional Free Trade Agreements) ── improve ──> (balance_of_trade),"""Bilateral Free Trade Agreements: Trade Policy"", ""Regional Free Trade Agreements: Trade Policy"""
9,llm_response_0051_Bangladesh_Sangbad_Sangstha_BSS_20230109.json,"Govt focusing on signing PTAs, FTAs considering LDC graduation: Tipu | Business",2023-01-09,https://www.bssnews.net/business/104238,Bangladesh Sangbad Sangstha (BSS),balance_of_trade,mitigates export losses,Sign FTAs to offset,"2023-01-09, The difference between country-wide imports and exports. -> mitigates export losses -> Sign FTAs to offset",0.996,Bangladesh needs to sign FTAs with more potential countries and important economic blocs to offset the loss of preferential market access.,CONFIRMED,"The exact sentence recommending signing FTAs to 'offset the loss of preferential market access' appears in the article, and the surrounding text explicitly presents FTAs as a means to overcome post-LDC export losses at the national level.",2023-01-09,The difference between country-wide imports and exports.,mitigates export losses,Sign FTAs to offset,True,LDC Graduation,reduces exports,Bangladesh Exports,(LDC Graduation) ── reduces exports ──> (Bangladesh Exports),deteriorate,(LDC Graduation) ── deteriorate ──> (balance_of_trade),Loss of Preferential Market Access,(Loss of Preferential Market Access) ── deteriorate ──> (balance_of_trade),"""Loss of Preferential Market Access: Trade Policy"""
