iter	Passed	Remaining
0	3	1863
1	7	1802
2	11	1956
3	15	1941
4	20	2036
5	24	1989
6	28	2016
7	31	1966
8	37	2028
9	41	2038
10	45	2003
11	49	2030
12	53	2008
13	58	2038
14	62	2006
15	66	2013
16	71	2020
17	75	2020
18	79	2005
19	83	2001
20	86	1977
21	90	1973
22	94	1950
23	98	1946
24	101	1924
25	105	1931
26	109	1915
27	113	1919
28	117	1908
29	122	1911
30	125	1895
31	129	1895
32	132	1880
33	137	1886
34	140	1870
35	144	1865
36	147	1851
37	152	1849
38	155	1838
39	159	1834
40	162	1816
41	166	1812
42	169	1804
43	173	1800
44	176	1784
45	180	1780
46	183	1770
47	187	1769
48	190	1756
49	194	1751
50	197	1743
51	202	1742
52	205	1732
53	209	1734
54	212	1721
55	216	1718
56	220	1712
57	225	1716
58	228	1706
59	232	1704
60	235	1696
61	239	1694
62	242	1685
63	247	1683
64	250	1678
65	255	1678
66	258	1670
67	262	1670
68	265	1661
69	270	1659
70	273	1652
71	277	1652
72	280	1643
73	285	1642
74	288	1634
75	292	1632
76	295	1624
77	300	1623
78	303	1617
79	307	1615
80	311	1612
81	316	1613
82	319	1606
83	324	1604
84	328	1604
85	333	1604
86	336	1598
87	341	1599
88	345	1595
89	350	1597
90	354	1592
91	360	1599
92	364	1595
93	369	1595
94	372	1588
95	378	1593
96	382	1588
97	387	1590
98	392	1588
99	397	1588
100	400	1581
101	405	1580
102	409	1577
103	413	1575
104	417	1570
105	423	1573
106	427	1569
107	431	1567
108	435	1561
109	440	1561
110	444	1559
111	450	1560
112	454	1557
113	459	1555
114	462	1549
115	467	1545
116	470	1539
117	474	1536
118	477	1529
119	482	1528
120	486	1523
121	490	1520
122	493	1513
123	497	1509
124	500	1502
125	506	1503
126	509	1497
127	514	1493
128	516	1486
129	521	1484
130	524	1477
131	528	1473
132	531	1466
133	535	1463
134	538	1455
135	542	1452
136	545	1446
137	551	1445
138	554	1439
139	558	1436
140	562	1431
141	565	1426
142	568	1420
143	572	1415
144	575	1409
145	579	1405
146	582	1399
147	586	1395
148	589	1388
149	593	1385
150	596	1378
151	600	1374
152	603	1367
153	607	1364
154	609	1357
155	613	1353
156	616	1347
157	620	1342
158	623	1336
159	626	1332
160	629	1325
161	634	1323
162	637	1318
163	641	1314
164	645	1310
165	650	1308
166	654	1304
167	656	1298
168	661	1294
169	664	1289
170	668	1285
171	671	1279
172	674	1275
173	678	1271
174	682	1267
175	685	1261
176	689	1258
177	693	1253
178	698	1252
179	701	1246
180	705	1242
181	708	1238
182	713	1235
183	716	1229
184	720	1226
185	724	1222
186	728	1219
187	731	1213
188	735	1210
189	738	1205
190	742	1201
191	746	1196
192	750	1193
193	753	1187
194	757	1184
195	759	1178
196	763	1174
197	766	1169
198	770	1165
199	773	1159
200	777	1156
201	779	1150
202	783	1146
203	786	1141
204	790	1137
205	793	1132
206	797	1129
207	800	1123
208	804	1119
209	807	1114
210	810	1110
211	813	1105
212	817	1101
213	820	1096
214	823	1092
215	826	1086
216	830	1082
217	833	1078
218	837	1074
219	839	1069
220	843	1064
221	846	1060
222	850	1056
223	852	1050
224	856	1046
225	859	1041
226	863	1037
227	865	1033
228	869	1029
229	872	1024
230	876	1020
231	879	1016
232	883	1012
233	886	1007
234	890	1004
235	894	1000
236	898	996
237	901	992
238	905	988
239	908	984
240	912	980
241	915	976
242	919	972
243	921	967
244	925	963
245	928	958
246	931	954
247	934	949
248	938	946
249	941	941
250	945	937
251	948	933
252	952	929
253	954	924
254	958	920
255	960	915
256	964	912
257	967	907
258	971	904
259	974	899
260	977	895
261	980	890
262	984	887
263	987	882
264	990	878
265	993	873
266	997	870
267	1000	865
268	1004	862
269	1007	857
270	1011	854
271	1014	850
272	1018	846
273	1021	842
274	1025	838
275	1028	834
276	1032	830
277	1035	827
278	1039	823
279	1042	819
280	1047	816
281	1050	812
282	1054	808
283	1057	804
284	1061	800
285	1064	796
286	1068	793
287	1071	788
288	1075	785
289	1078	780
290	1081	777
291	1084	772
292	1088	769
293	1091	765
294	1096	761
295	1098	757
296	1102	753
297	1105	749
298	1109	745
299	1112	741
300	1116	738
301	1119	733
302	1123	730
303	1125	725
304	1130	722
305	1133	718
306	1137	715
307	1141	711
308	1144	707
309	1148	704
310	1152	700
311	1156	696
312	1159	692
313	1163	689
314	1166	685
315	1171	682
316	1174	678
317	1178	674
318	1183	671
319	1188	668
320	1201	669
321	1205	666
322	1208	662
323	1212	658
324	1215	654
325	1219	651
326	1222	647
327	1227	643
328	1231	640
329	1235	636
330	1238	632
331	1242	628
332	1246	624
333	1250	621
334	1253	617
335	1256	613
336	1259	609
337	1263	605
338	1267	601
339	1272	598
340	1274	594
341	1279	591
342	1282	587
343	1295	587
344	1300	584
345	1306	581
346	1313	579
347	1319	576
348	1325	573
349	1332	571
350	1338	568
351	1344	565
352	1348	561
353	1352	557
354	1356	553
355	1364	551
356	1369	548
357	1373	544
358	1376	540
359	1380	537
360	1383	532
361	1387	528
362	1390	524
363	1394	521
364	1397	516
365	1401	513
366	1405	509
367	1408	505
368	1412	501
369	1415	497
370	1419	493
371	1421	489
372	1426	485
373	1429	481
374	1433	477
375	1436	473
376	1440	470
377	1444	466
378	1448	462
379	1450	458
380	1455	454
381	1457	450
382	1462	446
383	1465	442
384	1469	438
385	1472	434
386	1475	430
387	1479	427
388	1482	423
389	1486	419
390	1490	415
391	1496	412
392	1500	408
393	1506	405
394	1511	401
395	1516	398
396	1520	394
397	1524	390
398	1529	387
399	1533	383
400	1536	379
401	1540	375
402	1544	371
403	1548	367
404	1550	363
405	1555	360
406	1558	356
407	1562	352
408	1565	348
409	1569	344
410	1572	340
411	1576	336
412	1579	332
413	1583	328
414	1586	324
415	1590	321
416	1593	317
417	1597	313
418	1600	309
419	1603	305
420	1606	301
421	1610	297
422	1613	293
423	1616	289
424	1620	285
425	1624	282
426	1626	278
427	1630	274
428	1633	270
429	1637	266
430	1640	262
431	1643	258
432	1646	254
433	1651	251
434	1654	247
435	1658	243
436	1661	239
437	1665	235
438	1668	231
439	1672	228
440	1675	224
441	1679	220
442	1683	216
443	1687	212
444	1690	208
445	1694	205
446	1697	201
447	1702	197
448	1705	193
449	1709	189
450	1712	186
451	1717	182
452	1720	178
453	1724	174
454	1727	170
455	1732	167
456	1735	163
457	1739	159
458	1743	155
459	1747	151
460	1750	148
461	1755	144
462	1759	140
463	1763	136
464	1767	133
465	1771	129
466	1774	125
467	1778	121
468	1781	117
469	1785	113
470	1788	110
471	1792	106
472	1796	102
473	1800	98
474	1803	94
475	1807	91
476	1810	87
477	1814	83
478	1817	79
479	1820	75
480	1823	72
481	1828	68
482	1831	64
483	1835	60
484	1838	56
485	1842	53
486	1845	49
487	1850	45
488	1853	41
489	1857	37
490	1861	34
491	1866	30
492	1869	26
493	1874	22
494	1877	18
495	1882	15
496	1886	11
497	1889	7
498	1894	3
499	1897	0
